life_stage,Group,species
Adult,Amberjacks,Almaco jack
Adult,Amberjacks,Banded rudderfish
Adult,Amberjacks,Greater Amberjack
Adult,Amberjacks,Lesser Amberjack
Adult,Coastal pelagic,Cobia
Adult,Coastal pelagic,Florida pompano 
Adult,Coastal pelagic,King mackerel
Adult,Coastal pelagic,Mullet
Adult,Coastal pelagic,Spanish mackerel
Adult,Coastal pelagic,Wahoo
Adult,Deepwater snapper,Cubera snapper
Adult,Deepwater snapper,Queen snapper
Adult,Deepwater snapper,silk snapper
Adult,Deepwater snapper,Wenchmen
Adult,Groundfish,Atlantic croaker
Adult,Groundfish,Black drum
Adult,Groundfish,Gafftopsail catfish
Adult,Groundfish,Gulf butterfish
Adult,Groundfish,Gulf flounder
Adult,Groundfish,Red Drum
Adult,Groundfish,Sand sea trout
Adult,Groundfish,Sheepshead
Adult,Groundfish,Southern flounder
Adult,Groundfish,Spotted croaker
Adult,Groundfish,Spotted sea trout
Adult,Grouper and shallow reef fish,Black grouper
Adult,Grouper and shallow reef fish,Black sea bass 
Adult,Grouper and shallow reef fish,Gag grouper
Adult,Grouper and shallow reef fish,Goliath grouper
Adult,Grouper and shallow reef fish,Grey Snapper
Adult,Grouper and shallow reef fish,Grey Triggerfish
Adult,Grouper and shallow reef fish,Hogfish
Adult,Grouper and shallow reef fish,Lane snapper
Adult,Grouper and shallow reef fish,Mutton snapper
Adult,Grouper and shallow reef fish,Nassau grouper
Adult,Grouper and shallow reef fish,Red grouper
Adult,Grouper and shallow reef fish,Red Hind
Adult,Grouper and shallow reef fish,Red porgy 
Adult,Grouper and shallow reef fish,Red Snapper
Adult,Grouper and shallow reef fish,Rock hind
Adult,Grouper and shallow reef fish,Scamp Grouper
Adult,Grouper and shallow reef fish,Speckled hind 
Adult,Grouper and shallow reef fish,Vermilion snapper 
Adult,Grouper and shallow reef fish,White grunt
Adult,Grouper and shallow reef fish,Yellowmouth grouper
Adult,Grouper and shallow reef fish,Yellowedge grouper
Adult,Grouper and shallow reef fish,Yellowfin Grouper
Adult,Grouper and shallow reef fish,Yellowtail snapper 
Adult,Large coastal sharks,Blacktip
Adult,Large coastal sharks,Bull
Adult,Large coastal sharks,Lemon
Adult,Large coastal sharks,Nurse
Adult,Large coastal sharks,Sandbar
Adult,Large coastal sharks,Spinner
Adult,Large coastal sharks,Tiger
Adult,Menhaden and baitfish  ,Pinfish
Adult,Menhaden and baitfish  ,Anchovy
Adult,Menhaden and baitfish  ,Atlantic thread herring
Adult,Menhaden and baitfish  ,Flyingfish
Adult,Menhaden and baitfish  ,Halfbeak
Adult,Menhaden and baitfish  ,killifish
Adult,Menhaden and baitfish  ,Menhaden
Adult,Menhaden and baitfish  ,Round herring
Adult,Menhaden and baitfish  ,scad
Adult,Menhaden and baitfish  ,Scaled Sardine
Adult,Menhaden and baitfish  ,silverside
Adult,Menhaden and baitfish  ,Spanish sardine
Adult,Shrimp and crabs,Blue crab
Adult,Shrimp and crabs,Brown shrimp
Adult,Shrimp and crabs,Pink shrimp
Adult,Shrimp and crabs,White shrimp
Adult,Small pelagics,Blue runner
Adult,Small pelagics,Bluefish
Adult,Small pelagics,Bonito
Adult,Small pelagics,Crevalle jack
Adult,Small pelagics,Dolphinfish
Adult,Small pelagics,Little tunny
Adult,Small pelagics,Pompan Dolphinfish
Adult,Small pelagics,Rainbow runner
Adult,Small coastal sharks,Blacknose
Adult,Small coastal sharks,Bonnethead
Adult,Small coastal sharks,Finetooth
Adult,Small coastal sharks,Sharpnose
Adult,Tilefish and deepwater grouper,blueline tilefish
Adult,Tilefish and deepwater grouper,Calico grouper
Adult,Tilefish and deepwater grouper,Golden Tilefish
Adult,Tilefish and deepwater grouper,goldface tilefish
Adult,Tilefish and deepwater grouper,Misty Grouper
Adult,Tilefish and deepwater grouper,Snowy
Adult,Tilefish and deepwater grouper,Warsaw 
Adult,Tuna,Bigeye Tuna
Adult,Tuna,Blackfin Tuna
Adult,Tuna,Bluefin Tuna
Adult,Tuna,Skipjack Tuna
Adult,Amberjacks,Yellowfin Tuna
Juvenille,Amberjacks,Almaco jack
Juvenille,Amberjacks,Banded rudderfish
Juvenille,Amberjacks,Greater Amberjack
Juvenille,Coastal pelagic,Lesser Amberjack
Juvenille,Coastal pelagic,Cobia
Juvenille,Coastal pelagic,Florida pompano 
Juvenille,Coastal pelagic,King mackerel
Juvenille,Coastal pelagic,Mullet
Juvenille,Coastal pelagic,Spanish mackerel
Juvenille,Deepwater snapper,Wahoo
Juvenille,Deepwater snapper,Cubera snapper
Juvenille,Deepwater snapper,Queen snapper
Juvenille,Deepwater snapper,silk snapper
Juvenille,Groundfish,Wenchmen
Juvenille,Groundfish,Atlantic croaker
Juvenille,Groundfish,Black drum
Juvenille,Groundfish,Gafftopsail catfish
Juvenille,Groundfish,Gulf butterfish
Juvenille,Groundfish,Gulf flounder
Juvenille,Groundfish,Red Drum
Juvenille,Groundfish,Sand sea trout
Juvenille,Groundfish,Sheepshead
Juvenille,Groundfish,Southern flounder
Juvenille,Groundfish,Spotted croaker
Juvenille,Grouper and shallow reef fish,Spotted sea trout
Juvenille,Grouper and shallow reef fish,Black grouper
Juvenille,Grouper and shallow reef fish,Black sea bass 
Juvenille,Grouper and shallow reef fish,Gag grouper
Juvenille,Grouper and shallow reef fish,Goliath grouper
Juvenille,Grouper and shallow reef fish,Grey Snapper
Juvenille,Grouper and shallow reef fish,Grey Triggerfish
Juvenille,Grouper and shallow reef fish,Hogfish
Juvenille,Grouper and shallow reef fish,Lane snapper
Juvenille,Grouper and shallow reef fish,Mutton snapper
Juvenille,Grouper and shallow reef fish,Nassau grouper
Juvenille,Grouper and shallow reef fish,Red grouper
Juvenille,Grouper and shallow reef fish,Red Hind
Juvenille,Grouper and shallow reef fish,Red porgy 
Juvenille,Grouper and shallow reef fish,Red Snapper
Juvenille,Grouper and shallow reef fish,Rock hind
Juvenille,Grouper and shallow reef fish,Scamp Grouper
Juvenille,Grouper and shallow reef fish,Speckled hind 
Juvenille,Grouper and shallow reef fish,Vermilion snapper 
Juvenille,Grouper and shallow reef fish,White grunt
Juvenille,Grouper and shallow reef fish,Yellowmouth grouper
Juvenille,Grouper and shallow reef fish,Yellowedge grouper
Juvenille,Grouper and shallow reef fish,Yellowfin Grouper
Juvenille,Large coastal sharks,Yellowtail snapper 
Juvenille,Large coastal sharks,Blacktip
Juvenille,Large coastal sharks,Bull
Juvenille,Large coastal sharks,Lemon
Juvenille,Large coastal sharks,Nurse
Juvenille,Large coastal sharks,Sandbar
Juvenille,Large coastal sharks,Spinner
Juvenille,Menhaden and baitfish  ,Tiger
Juvenille,Menhaden and baitfish  ,Pinfish
Juvenille,Menhaden and baitfish  ,Anchovy
Juvenille,Menhaden and baitfish  ,Atlantic thread herring
Juvenille,Menhaden and baitfish  ,Flyingfish
Juvenille,Menhaden and baitfish  ,Halfbeak
Juvenille,Menhaden and baitfish  ,killifish
Juvenille,Menhaden and baitfish  ,Menhaden
Juvenille,Menhaden and baitfish  ,Round herring
Juvenille,Menhaden and baitfish  ,scad
Juvenille,Menhaden and baitfish  ,Scaled Sardine
Juvenille,Menhaden and baitfish  ,silverside
Juvenille,Shrimp and crabs,Spanish sardine
Juvenille,Shrimp and crabs,Blue crab
Juvenille,Shrimp and crabs,Brown shrimp
Juvenille,Shrimp and crabs,Pink shrimp
Juvenille,Small pelagics,White shrimp
Juvenille,Small pelagics,Blue runner
Juvenille,Small pelagics,Bluefish
Juvenille,Small pelagics,Bonito
Juvenille,Small pelagics,Crevalle jack
Juvenille,Small pelagics,Dolphinfish
Juvenille,Small pelagics,Little tunny
Juvenille,Small pelagics,Pompan Dolphinfish
Juvenille,Small coastal sharks,Rainbow runner
Juvenille,Small coastal sharks,Blacknose
Juvenille,Small coastal sharks,Bonnethead
Juvenille,Small coastal sharks,Finetooth
Juvenille,Tilefish and deepwater grouper,Sharpnose
Juvenille,Tilefish and deepwater grouper,blueline tilefish
Juvenille,Tilefish and deepwater grouper,Calico grouper
Juvenille,Tilefish and deepwater grouper,Golden Tilefish
Juvenille,Tilefish and deepwater grouper,goldface tilefish
Juvenille,Tilefish and deepwater grouper,Misty Grouper
Juvenille,Tilefish and deepwater grouper,Snowy
Juvenille,Tuna,Warsaw 
Juvenille,Tuna,Bigeye Tuna
Juvenille,Tuna,Blackfin Tuna
Juvenille,Tuna,Bluefin Tuna
Juvenille,Tuna,Skipjack Tuna
Juvenille,,Yellowfin Tuna
