species,life_stage,spring_trawl,fall_trawl,seamap_bll,nmfs_bll,camera_reef,sum_plank_bongo,sum_plan_neuston,fall_plank_bongo,fall_plank_neust,nmfs_small_pelagics,Group
Almaco jack,Adult,0.137955887,0.19,0.544981004,0.082297437,0.542227992,0,0,0,0,0.085472796,Amberjacks
Banded rudderfish,Adult,0.351615599,0,0.091050956,0,0.120264274,0,0,0,0,0.095776751,Amberjacks
Greater Amberjack,Adult,0.337678327,0.38,0.545096359,0.1,0.544514574,0,0,0,0,0.202949654,Amberjacks
Lesser Amberjack,Adult,0.093339544,0.01,0.273525122,0.078065635,0.185906008,0,0,0,0,0.090526272,Amberjacks
Cobia,Adult,0.126357869,0.47,0.080511705,0.15,0.088891967,0.103354461,0.115213649,0.100564961,0.247905857,0.098490547,CoastalPelagic
Florida pompano ,Adult,0.096047819,0.123268485,0.077618239,0,0.077274177,0,0,0,0,0.093122137,CoastalPelagic
King mackerel,Adult,0.403558554,0.43,0,0.07,0.08091647,0.122186757,0.13382358,0.544992779,0.543025813,0.380893018,CoastalPelagic
Mullet,Adult,0.058525311,0.022661692,0,0,0,0,0,0,0,0,CoastalPelagic
Spanish mackerel,Adult,0.299208351,0.34,0.077618239,0.01,0.07847289,0.097606741,0.123746469,0.543073424,0.52418158,0.157812663,CoastalPelagic
Wahoo,Adult,0,0,0,0.03,0,0,0,0,0,0,CoastalPelagic
Cubera snapper,Adult,0,0,0,0,0,0,0,0,0,0,Deepwater snapper
Queen snapper,Adult,0.058525311,0,0.081115232,0.05,0.08141266,0,0,0,0,0,Deepwater snapper
silk snapper,Adult,0.06950489,0.042064885,0.086565718,0,0.085991844,0,0,0,0,0,Deepwater snapper
Wenchmen,Adult,0,0,0,0,0,0,0,0,0,0,Deepwater snapper
Atlantic croaker,Adult,0.373209711,0.382035429,0,0.04,0,0,0,0,0,0.543496159,Groundfish
Black drum,Adult,0,0,0,0,0,0,0,0,0,0,Groundfish
Gafftopsail catfish,Adult,0.363145359,0.382035205,0,0.41,0,0,0,0,0,0,Groundfish
Gulf butterfish,Adult,0.373209711,0.382035429,0,0,0,0,0,0,0,0.544999986,Groundfish
Gulf flounder,Adult,0,0,0,0,0,0,0,0,0,0,Groundfish
Red Drum,Adult,0.075461014,0.056167689,0,0.23,0,0,0.081479442,0.544152336,0.532280073,0,Groundfish
Sand sea trout,Adult,0.373209711,0.382035429,0,0.05,0,0,0,0,0,0.544958009,Groundfish
Sheepshead,Adult,0.119710988,0.216084179,0.077618239,0,0.170406513,0,0,0,0,0,Groundfish
Southern flounder,Adult,0.373208266,0.382035429,0,0,0,0,0,0,0,0.384765988,Groundfish
Spotted croaker,Adult,0.373209711,0.382035429,0,0,0.081164252,0,0,0,0,0.519761513,Groundfish
Spotted sea trout,Adult,0.075461014,0,0,0,0,0,0,0,0,0,Groundfish
Black grouper,Adult,0,0,0.105531781,0.079106285,0.095775362,0,0,0,0,0,Grouper_ShallowReef_Fish
Black sea bass ,Adult,0.367721686,0.382035399,0,0.03,0.336739517,0,0,0,0,0,Grouper_ShallowReef_Fish
Gag grouper,Adult,0.272775164,0.37,0.411366118,0.28,0.479724571,0,0,0,0,0.087988679,Grouper_ShallowReef_Fish
