Group,species,commercial_value,recreational_value,ecosystem_value,management_importantce,uniqueness,include,,
Amberjack,Almaco jack,0.000363882,0.013104189,0.000521009,0.142857143,0.2,1,,
Amberjack,Banded rudderfish,6.15164E-05,0.004296455,0.000521009,0.142857143,0.333333333,1,,
Amberjacks,Greater Amberjack,0.004731409,0.141568206,0.000521009,0.166666667,0.166666667,1,,
Amberjacks,Lesser Amberjack,1.3671E-05,0.000429646,0.000521009,0.125,0.2,1,,
CoastalPelagic,Cobia,0.000764487,0.083566058,0.000209787,0.166666667,0.1,1,,
CoastalPelagic,Florida pompano ,0.002638717,0.066595059,0.001793561,0,0.25,1,,
CoastalPelagic,King mackerel,0.026418174,0.327604726,0.0022994,0.125,0.1,1,,
CoastalPelagic,Mullet,0.021672137,0.430934479,0.010586158,0,0.5,1,,
CoastalPelagic,Spanish mackerel,0.003201241,0.586680988,0.001604983,0.2,0.1,1,,
CoastalPelagic,Wahoo,0.000317355,0.039312567,0.001793561,0,1,1,,
Deepwater snapper,Cubera snapper,6.97451E-05,0.000644468,0.000376233,0.1,0,1,,
Deepwater snapper,Queen snapper,0.000495132,0,0.000376233,0,0.333333333,1,,
Deepwater snapper,silk snapper,0.000725387,0.000859291,0.000376233,0.1,0.333333333,1,,
Deepwater snapper,Wenchmen,0.008180166,0.09301826,0.000376233,0.142857143,0,1,,
Groundfish,Atlantic croaker,0.008180166,0.09301826,0.006939097,0,0.2,1,,
Groundfish,Black drum,0.017619784,0.133834586,0.006939097,0,0,1,,
Groundfish,Gafftopsail catfish,6.47604E-06,0.083351235,0.006939097,0,0.25,1,,
Groundfish,Gulf butterfish,1.9131E-06,0,0.006939097,0,0.333333333,1,,
Groundfish,Gulf flounder,0.000567277,0.042105263,0.004546146,0,0,1,,
Groundfish,Red Drum,0.000782923,0.50461869,0.002637318,0.125,0.142857143,1,,
Groundfish,Sand sea trout,0.000185298,0.1783029,0.003471854,0,0.2,1,,
Groundfish,Sheepshead,0.002079871,0.479269603,0.004546146,0,0.333333333,1,,
Groundfish,Southern flounder,0.000311462,0.041031149,0.004546146,0,0.333333333,1,,
Groundfish,Spotted croaker,2.76568E-05,0.001503759,0.004546146,0,0.25,1,,
Groundfish,Spotted sea trout,0.00040824,0.507626208,0.003471854,0,1,1,,
Grouper_ShallowReef_Fish,Black grouper,0.002848862,0.031149302,0.000360095,0.111111111,0.5,1,,
Grouper_ShallowReef_Fish,Black sea bass ,0.00069959,0.021482277,0.000360095,0,0.25,1,,
Grouper_ShallowReef_Fish,Gag grouper,0.016804469,0.293662728,0.000415885,0.1,0.2,1,,
Grouper_ShallowReef_Fish,Goliath grouper,0,0,2.13014E-05,0.1,0.25,1,,
Grouper_ShallowReef_Fish,Grey Snapper,0.002631481,0.440601504,0.000360095,0.111111111,0.142857143,1,,
Grouper_ShallowReef_Fish,Grey Triggerfish,0.000691189,0.090870032,0.001489255,0.142857143,0.125,1,,
